#case_id:flow_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
1325 2.42558299e-6 -1.52215546e+0
1330 1.93092288e-6 -1.53035924e+0
1335 1.59286384e-6 -1.53567523e+0
1340 1.34565733e-6 -1.53929047e+0
1345 1.15579478e-6 -1.54180332e+0
1350 1.00440200e-6 -1.54354358e+0
1355 8.80032186e-7 -1.54470286e+0
1360 7.75335087e-7 -1.54539409e+0
1365 6.85370432e-7 -1.54568057e+0
1370 6.06690606e-7 -1.54559036e+0
1375 5.36812127e-7 -1.54512232e+0
1380 4.73896284e-7 -1.54424644e+0
1385 4.16548245e-7 -1.54289856e+0
1390 3.63686280e-7 -1.54096767e+0
1395 3.14454030e-7 -1.53827064e+0
1400 2.68160125e-7 -1.53450221e+0
1405 2.24235736e-7 -1.52913067e+0
1410 1.82204495e-7 -1.52115830e+0
1415 1.41662059e-7 -1.50848955e+0
1420 1.02267253e-7 -1.48588373e+0
1425 6.37685317e-8 -1.43562964e+0
1430 2.63809105e-8 -1.23964165e+0
1435 1.56917242e-8 9.88843466e-1
1440 5.20052873e-8 1.40198902e+0
1445 9.02531927e-8 1.47183676e+0
1450 1.29369616e-7 1.49986293e+0
1455 1.69550621e-7 1.51473071e+0
1460 2.11117066e-7 1.52377478e+0
1465 2.54455101e-7 1.52971573e+0
1470 3.00019168e-7 1.53378939e+0
1475 3.48349596e-7 1.53663294e+0
1480 4.00099827e-7 1.53860275e+0
1485 4.56074972e-7 1.53990758e+0
1490 5.17286461e-7 1.54067049e+0
1495 5.85030929e-7 1.54095935e+0
1500 6.61006936e-7 1.54080186e+0
1505 7.47492701e-7 1.54019140e+0
1510 8.47625819e-7 1.53908629e+0
1515 9.65860702e-7 1.53740212e+0
1520 1.10875130e-6 1.53499437e+0
1525 1.28636540e-6 1.53162403e+0
1530 1.51501706e-6 1.52688880e+0
1535 1.82301291e-6 1.52007673e+0
1540 2.26415554e-6 1.50982006e+0
1545 2.95472140e-6 1.49314377e+0
1550 4.20054260e-6 1.46217700e+0
1555 7.13795153e-6 1.38733003e+0
1560 2.11146381e-5 1.00223011e+0
1565 1.58677753e-5 -1.15200253e+0
1570 6.34614613e-6 -1.40538977e+0
1575 3.91016645e-6 -1.46714502e+0
1580 2.80732339e-6 -1.49439552e+0
1585 2.17624221e-6 -1.50949714e+0
1590 1.76537942e-6 -1.51891502e+0
1595 1.47487371e-6 -1.52520043e+0
1600 1.25724578e-6 -1.52955706e+0
1605 1.08704230e-6 -1.53262141e+0
1610 9.49389684e-7 -1.53475591e+0
1615 8.35011292e-7 -1.53617548e+0
1620 7.37817257e-7 -1.53700779e+0
1625 6.53640299e-7 -1.53732345e+0
1630 5.79528555e-7 -1.53715086e+0
1635 5.13328647e-7 -1.53648199e+0
1640 4.53428863e-7 -1.53527137e+0
1645 3.98594974e-7 -1.53342778e+0
1650 3.47861862e-7 -1.53079589e+0
1655 3.00459996e-7 -1.52712006e+0
1660 2.55764397e-7 -1.52197278e+0
1665 2.13258712e-7 -1.51460376e+0
1670 1.72510232e-7 -1.50358841e+0
1675 1.33154921e-7 -1.48588153e+0
1680 9.48993165e-8 -1.45365331e+0
1685 5.75926748e-8 -1.37909239e+0
1690 2.21463192e-8 -1.05439048e+0
1695 2.09613542e-8 1.01975171e+0
1700 5.61845907e-8 1.37203579e+0
1705 9.33544201e-8 1.44950928e+0
1710 1.31418640e-7 1.48253981e+0
1715 1.70511349e-7 1.50055074e+0
1720 2.10913201e-7 1.51168803e+0
1725 2.52972387e-7 1.51909156e+0
1730 2.97100556e-7 1.52422147e+0
1735 3.43785728e-7 1.52784308e+0
1740 3.93614484e-7 1.53039028e+0
1745 4.47303818e-7 1.53212081e+0
1750 5.05746035e-7 1.53318960e+0
1755 5.70072780e-7 1.53368568e+0
1760 6.41748334e-7 1.53365080e+0
1765 7.22709111e-7 1.53308770e+0
1770 8.15578572e-7 1.53196102e+0
1775 9.24010023e-7 1.53019138e+0
1780 1.05325596e-6 1.52764045e+0
1785 1.21116037e-6 1.52408156e+0
1790 1.40999214e-6 1.51914272e+0
1795 1.67008692e-6 1.51219135e+0
1800 2.02778312e-6 1.50208101e+0
1805 2.55497798e-6 1.48652400e+0
1810 3.41639844e-6 1.46024258e+0
1815 5.08789186e-6 1.40783660e+0
1820 9.67779409e-6 1.25885996e+0
1825 3.13019464e-5 1.07771512e-1
1830 1.03203943e-5 -1.23382886e+0
1835 5.26917028e-6 -1.39847182e+0
1840 3.49927587e-6 -1.45402555e+0
1845 2.60233629e-6 -1.48138669e+0
1850 2.05850917e-6 -1.49739642e+0
1855 1.69172940e-6 -1.50769699e+0
1860 1.42614349e-6 -1.51470090e+0
1865 1.22374468e-6 -1.51960511e+0
1870 1.06339581e-6 -1.52306417e+0
1875 9.32404373e-7 -1.52545888e+0
1880 8.22685526e-7 -1.52701757e+0
1885 7.28841690e-7 -1.52787539e+0
1890 6.47128019e-7 -1.52810442e+0
1895 5.74861055e-7 -1.52772834e+0
1900 5.10063830e-7 -1.52672735e+0
1905 4.51243971e-7 -1.52503525e+0
1910 3.97250035e-7 -1.52252775e+0
1915 3.47175676e-7 -1.51899793e+0
1920 3.00294068e-7 -1.51410886e+0
1925 2.56012188e-7 -1.50730051e+0
1930 2.13838782e-7 -1.49759471e+0
1935 1.73362978e-7 -1.48314376e+0
1940 1.34244429e-7 -1.46002610e+0
1945 9.62280137e-8 -1.41828224e+0
1950 5.92696171e-8 -1.32351585e+0
1955 2.48731764e-8 -9.48427796e-1
1960 2.23532829e-8 8.59245746e-1
1965 5.61985831e-8 1.30430275e+0
1970 9.31514136e-8 1.40781829e+0
1975 1.31242693e-7 1.45203895e+0
1980 1.70485740e-7 1.47611704e+0
1985 2.11135733e-7 1.49097233e+0
1990 2.53540849e-7 1.50081672e+0
1995 2.98124816e-7 1.50760709e+0
2000 3.45397183e-7 1.51236721e+0
